Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type, Item_MRP ,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size_Cleaned,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
NCN07,18.5,Low Fat,0.03391645,Others,130.93,OUT013,1987,High,Tier 3,Supermarket Type1,1713.7692
FDB14,20.25,Regular,0.102704495,Canned,94.31,OUT035,2004,Small,Tier 2,Supermarket Type1,2982.784
NCJ18,12.35,Low Fat,0.163910938,Household,119.21,OUT035,2004,Small,Tier 2,Supermarket Type1,1303.6364
FDF57,14.5,Regular,0.058827383,Fruits and Vegetables,172.24,OUT046,1997,Small,Tier 1,Supermarket Type1,2897.5616
DRG01,14.8,Low Fat,0.044840933,Soft Drinks,78.37,OUT013,1987,High,Tier 3,Supermarket Type1,918.804
FDA02,14,Regular,0.029843736,Dairy,143.98,OUT018,2009,Medium,Tier 3,Supermarket Type2,866.8716
DRJ37,10.8,Low Fat,0.061446997,Soft Drinks,150.4,OUT017,2007,Medium,Tier 2,Supermarket Type1,2884.2456
NCP55,14.65,Low Fat,0.011180713,Others,53.86,OUT013,1987,High,Tier 3,Supermarket Type1,221.0456
FDW45,12.99,Low Fat,0.038822077,Snack Foods,147.74,OUT027,1985,Medium,Tier 3,Supermarket Type3,1618.5598
FDK38,6.65,Low Fat,0.053397989,Canned,149.37,OUT045,2002,Medium,Tier 2,Supermarket Type1,296.9468
NCZ30,6.59,Low Fat,0.043828293,Household,121.41,OUT010,1998,Medium,Tier 3,Grocery Store,241.0196
FDK08,13.22,Regular,0.214139786,Fruits and Vegetables,102.4,OUT019,1985,Small,Tier 1,Grocery Store,202.4032
DRY23,9.4,Regular,0.109075742,Soft Drinks,42.91,OUT035,2004,Small,Tier 2,Supermarket Type1,426.112
FDT31,19.75,Low Fat,0.012448294,Fruits and Vegetables,188.29,OUT046,1997,Small,Tier 1,Supermarket Type1,2647.2208
FDU52,7.56,Low Fat,0.064030636,Frozen Foods,154.46,OUT018,2009,Medium,Tier 3,Supermarket Type2,2503.408
NCG19,20.25,Low Fat,0.14781046,Household,234.86,OUT013,1987,High,Tier 3,Supermarket Type1,2812.3392
NCR30,20.6,Low Fat,0.071136948,Household,76.37,OUT045,2002,Medium,Tier 2,Supermarket Type1,372.848
FDN23,6.58,Regular,0.07566089,Breads,145.44,OUT045,2002,Medium,Tier 2,Supermarket Type1,2612.5992
FDQ01,19.7,Regular,0.16102755,Canned,254.1,OUT045,2002,Medium,Tier 2,Supermarket Type1,4845.0266
FDO22,13.5,Regular,0.029893094,Snack Foods,81.1,OUT010,1998,Medium,Tier 3,Grocery Store,159.792
DRE13,6.28,Low Fat,0.027761289,Soft Drinks,85.82,OUT045,2002,Medium,Tier 2,Supermarket Type1,872.198
FDL44,18.25,Low Fat,0.012272797,Fruits and Vegetables,160.29,OUT035,2004,Small,Tier 2,Supermarket Type1,3235.788
FDT34,9.3,Low Fat,0.174317307,Snack Foods,106.8,OUT035,2004,Small,Tier 2,Supermarket Type1,841.5712
DRM23,16.6,Low Fat,0.135707553,Hard Drinks,170.64,OUT035,2004,Small,Tier 2,Supermarket Type1,1379.5376
FDF32,16.35,Low Fat,0.068219025,Fruits and Vegetables,198.94,OUT045,2002,Medium,Tier 2,Supermarket Type1,3559.3668
NCE18,10,Low Fat,0.021468792,Household,251.68,OUT045,2002,Medium,Tier 2,Supermarket Type1,4244.475
FDA51,13.43,Regular,0.163882129,Dairy,113.25,OUT027,1985,Medium,Tier 3,Supermarket Type3,3415.554
DRZ24,7.54,Low Fat,0.082250143,Soft Drinks,118.34,OUT017,2007,Medium,Tier 2,Supermarket Type1,3115.944
FDT48,4.92,Low Fat,0.046026479,Baking Goods,196.51,OUT049,1999,Medium,Tier 1,Supermarket Type1,3769.7596
DRG11,6.39,Low Fat,0,Hard Drinks,108.96,OUT046,1997,Small,Tier 1,Supermarket Type1,1186.4556
FDE58,18.5,Low Fat,0.052149675,Snack Foods,118.31,OUT049,1999,Medium,Tier 1,Supermarket Type1,1540.6612
DRA12,11.6,Low Fat,0.040911824,Soft Drinks,142.32,OUT013,1987,High,Tier 3,Supermarket Type1,2552.6772
FDP60,17.35,Low Fat,0.056235142,Baking Goods,102,OUT017,2007,Medium,Tier 2,Supermarket Type1,1619.2256
FDT10,16.7,Regular,0.062170334,Snack Foods,60.96,OUT045,2002,Medium,Tier 2,Supermarket Type1,829.5868
FDE05,10.9,Regular,0.032427039,Frozen Foods,147.71,OUT013,1987,High,Tier 3,Supermarket Type1,1166.4816
FDC32,18.35,Low Fat,0.099309997,Fruits and Vegetables,91.45,OUT045,2002,Medium,Tier 2,Supermarket Type1,1665.8316
FDJ22,18.75,Low Fat,0.05310896,Snack Foods,193.65,OUT017,2007,Medium,Tier 2,Supermarket Type1,2876.256
NCH18,9.3,Low Fat,0.044843161,Household,246.18,OUT018,2009,Medium,Tier 3,Supermarket Type2,2702.4822
DRE37,11.85,Low Fat,0.164966345,Soft Drinks,189.49,OUT019,1985,Small,Tier 1,Grocery Store,189.0872
DRC13,8.26,Regular,0.032435437,Soft Drinks,124.87,OUT035,2004,Small,Tier 2,Supermarket Type1,2956.152
FDG47,12.8,Low Fat,0.06961884,Starchy Foods,260.33,OUT046,1997,Small,Tier 1,Supermarket Type1,8132.0812
FDY55,16.75,Low Fat,0.08165147,Fruits and Vegetables,258.4,OUT018,2009,Medium,Tier 3,Supermarket Type2,1541.9928
NCW29,13.14,Low Fat,0.028723187,Health and Hygiene,131.83,OUT027,1985,Medium,Tier 3,Supermarket Type3,3635.268
NCT05,10.9,Low Fat,0.020994339,Health and Hygiene,255.67,OUT045,2002,Medium,Tier 2,Supermarket Type1,4346.3424
FDN50,16.85,Regular,0.026561057,Canned,93.71,OUT049,1999,Medium,Tier 1,Supermarket Type1,466.06
FDU60,20,Regular,0.100262068,Baking Goods,169.61,OUT010,1998,Medium,Tier 3,Grocery Store,169.1132
FDX02,16,Low Fat,0.057012606,Dairy,225.04,OUT013,1987,High,Tier 3,Supermarket Type1,5851.0504
FDL34,16,Low Fat,0.041009558,Snack Foods,141.25,OUT049,1999,Medium,Tier 1,Supermarket Type1,2681.8424
DRF27,8.93,Low Fat,0.028578012,Dairy,152.23,OUT017,2007,Medium,Tier 2,Supermarket Type1,3828.35
FDZ35,9.6,Regular,0,Breads,101.7,OUT049,1999,Medium,Tier 1,Supermarket Type1,2373.577
DRF03,13.43,Low Fat,0.045088724,Dairy,39.71,OUT027,1985,Medium,Tier 3,Supermarket Type3,1096.5726
NCO41,13.14,Low Fat,0.018757586,Health and Hygiene,96.94,OUT027,1985,Medium,Tier 3,Supermarket Type3,2167.8448
FDQ59,9.8,Regular,0.056500895,Breads,85.89,OUT045,2002,Medium,Tier 2,Supermarket Type1,1845.5976
NCZ53,9.6,Low Fat,0.024576875,Health and Hygiene,186.62,OUT018,2009,Medium,Tier 3,Supermarket Type2,1884.214
FDZ33,12.99,Low Fat,0.188038372,Snack Foods,146.41,OUT019,1985,Small,Tier 1,Grocery Store,147.8076
FDD34,7.95,Low Fat,0.015908485,Snack Foods,161.42,OUT045,2002,Medium,Tier 2,Supermarket Type1,3425.541
NCM06,7.48,Low Fat,0.075845634,Household,156.07,OUT049,1999,Medium,Tier 1,Supermarket Type1,1853.5872
FDY43,14.85,Low Fat,0.098803088,Fruits and Vegetables,169.75,OUT018,2009,Medium,Tier 3,Supermarket Type2,673.7896
DRM23,16.6,Low Fat,0.227189581,Hard Drinks,173.94,OUT010,1998,Medium,Tier 3,Grocery Store,172.4422
FDT20,10.5,Low Fat,0.041459804,Fruits and Vegetables,39.22,OUT049,1999,Medium,Tier 1,Supermarket Type1,540.6296
FDG46,8.63,Regular,0.032882271,Snack Foods,113.55,OUT013,1987,High,Tier 3,Supermarket Type1,2732.4432
FDH10,21,Low Fat,0.049583899,Snack Foods,193.85,OUT017,2007,Medium,Tier 2,Supermarket Type1,1162.4868
FDF24,15.5,Regular,0.02536567,Baking Goods,82.79,OUT035,2004,Small,Tier 2,Supermarket Type1,1228.401
FDG57,14.7,Low Fat,0.07229836,Fruits and Vegetables,48.2,OUT046,1997,Small,Tier 1,Supermarket Type1,874.8612
FDN44,13.15,Low Fat,0.022924552,Fruits and Vegetables,157.89,OUT017,2007,Medium,Tier 2,Supermarket Type1,1917.504
FDD32,17.7,Regular,0.040897932,Fruits and Vegetables,82.63,OUT013,1987,High,Tier 3,Supermarket Type1,731.0484
FDI04,12.87,Regular,0.127660257,Frozen Foods,198.54,OUT019,1985,Small,Tier 1,Grocery Store,790.9704
FDA56,9.21,Low Fat,0.008764786,Fruits and Vegetables,123.14,OUT046,1997,Small,Tier 1,Supermarket Type1,4264.449
DRG51,12.1,Low Fat,0.011604894,Dairy,166.05,OUT017,2007,Medium,Tier 2,Supermarket Type1,1480.0734
FDZ04,9.31,Low Fat,0.038169783,Frozen Foods,64.55,OUT017,2007,Medium,Tier 2,Supermarket Type1,1581.275
FDT13,14.85,Low Fat,0.018568129,Canned,188.22,OUT035,2004,Small,Tier 2,Supermarket Type1,3014.7424
FDY56,13.22,Regular,0.062109174,Fruits and Vegetables,223.71,OUT027,1985,Medium,Tier 3,Supermarket Type3,4965.5364
FDB51,6.92,Low Fat,0.038671588,Dairy,64.29,OUT017,2007,Medium,Tier 2,Supermarket Type1,438.0964
NCY29,13.65,Low Fat,0.077169841,Health and Hygiene,55.59,OUT013,1987,High,Tier 3,Supermarket Type1,282.965
FDL34,16,Low Fat,0.041028937,Snack Foods,142.65,OUT045,2002,Medium,Tier 2,Supermarket Type1,1834.9448
NCQ38,16.35,Low Fat,0.013387211,Others,105.63,OUT049,1999,Medium,Tier 1,Supermarket Type1,1065.28
NCR41,13.14,Low Fat,0.017936715,Health and Hygiene,93.71,OUT027,1985,Medium,Tier 3,Supermarket Type3,4189.2136
FDY24,4.88,Regular,0.223440258,Baking Goods,52.23,OUT010,1998,Medium,Tier 3,Grocery Store,161.7894
NCA42,6.97,Low Fat,0,Household,159.66,OUT045,2002,Medium,Tier 2,Supermarket Type1,3327.6684
FDB11,16,Low Fat,0.060942632,Starchy Foods,225.64,OUT049,1999,Medium,Tier 1,Supermarket Type1,2925.5252
FDG26,18.85,Low Fat,0.042641788,Canned,257.83,OUT035,2004,Small,Tier 2,Supermarket Type1,5382.993
FDH24,20.7,Low Fat,0.021427082,Baking Goods,156.53,OUT035,2004,Small,Tier 2,Supermarket Type1,1571.288
FDX44,9.3,Low Fat,0.042930789,Fruits and Vegetables,88.52,OUT013,1987,High,Tier 3,Supermarket Type1,1427.4752
FDT52,9.7,Regular,0.047697859,Frozen Foods,244.61,OUT017,2007,Medium,Tier 2,Supermarket Type1,2695.1584
FDT04,17.25,Low Fat,0.10764721,Frozen Foods,39.38,OUT017,2007,Medium,Tier 2,Supermarket Type1,314.2576
FDO58,19.6,Low Fat,0.039577173,Snack Foods,166.15,OUT046,1997,Small,Tier 1,Supermarket Type1,2960.1468
FDR60,14.3,Low Fat,0.130415118,Baking Goods,75.93,OUT046,1997,Small,Tier 1,Supermarket Type1,1158.492
NCL54,12.6,Low Fat,0.082921642,Household,175.21,OUT045,2002,Medium,Tier 2,Supermarket Type1,3502.108
FDW50,13.1,Low Fat,0.075515154,Dairy,167.22,OUT013,1987,High,Tier 3,Supermarket Type1,3008.0844
FDK43,12.82,Low Fat,0.046994717,Meat,125.8,OUT019,1985,Small,Tier 1,Grocery Store,253.004
FDQ32,17.85,Regular,0.04679836,Fruits and Vegetables,123.84,OUT018,2009,Medium,Tier 3,Supermarket Type2,866.8716
FDE29,8.91,Low Fat,0.143129124,Frozen Foods,58.89,OUT046,1997,Small,Tier 1,Supermarket Type1,1151.1682
NCN07,18.5,Low Fat,0.034013539,Others,133.23,OUT045,2002,Medium,Tier 2,Supermarket Type1,2768.3964
FDB37,20.25,Regular,0.022921735,Baking Goods,240.75,OUT013,1987,High,Tier 3,Supermarket Type1,3364.9532
FDD21,10.3,Regular,0.030616757,Fruits and Vegetables,112.72,OUT049,1999,Medium,Tier 1,Supermarket Type1,343.5528
FDX16,17.85,Low Fat,0.06575528,Frozen Foods,151.51,OUT013,1987,High,Tier 3,Supermarket Type1,2546.685
FDN46,7.21,Regular,0.144856342,Snack Foods,100.53,OUT049,1999,Medium,Tier 1,Supermarket Type1,1127.8652
FDV28,16.1,Regular,0.267352587,Frozen Foods,34.96,OUT010,1998,Medium,Tier 3,Grocery Store,67.9116
FDR48,12.28,Low Fat,0.130867413,Baking Goods,150.8,OUT027,1985,Medium,Tier 3,Supermarket Type3,4402.2696
FDW37,12.31,Low Fat,0.123449671,Canned,89.75,OUT027,1985,Medium,Tier 3,Supermarket Type3,1901.5248
FDV40,17.35,Low Fat,0.014689006,Frozen Foods,74.5,OUT035,2004,Small,Tier 2,Supermarket Type1,739.038
FDZ57,10,Regular,0.037918142,Snack Foods,129.7,OUT018,2009,Medium,Tier 3,Supermarket Type2,1413.4934
FDY46,18.6,Low Fat,0.047964395,Snack Foods,185.09,OUT049,1999,Medium,Tier 1,Supermarket Type1,2993.4368
FDX45,16.75,Low Fat,0.105018817,Snack Foods,155.26,OUT049,1999,Medium,Tier 1,Supermarket Type1,1721.093
FDB33,17.75,Low Fat,0.014577412,Fruits and Vegetables,160.73,OUT035,2004,Small,Tier 2,Supermarket Type1,2864.2716
FDT58,9,Low Fat,0.143870574,Snack Foods,169.48,OUT010,1998,Medium,Tier 3,Grocery Store,503.3448
FDM39,6.42,Low Fat,0.053553794,Dairy,178.6,OUT049,1999,Medium,Tier 1,Supermarket Type1,3582.004
NCY41,16.75,Low Fat,0.075889215,Health and Hygiene,37.65,OUT045,2002,Medium,Tier 2,Supermarket Type1,575.2512
NCL31,7.39,Low Fat,0.120280989,Others,142.75,OUT046,1997,Small,Tier 1,Supermarket Type1,3149.234
NCJ31,19.2,Low Fat,0.182653772,Others,243.02,OUT046,1997,Small,Tier 1,Supermarket Type1,3374.2744
FDO23,11.35,Low Fat,0.25637539,Breads,94.84,OUT019,1985,Small,Tier 1,Grocery Store,567.2616
FDN56,5.46,Regular,0.107036943,Fruits and Vegetables,144.28,OUT035,2004,Small,Tier 2,Supermarket Type1,288.9572
FDF04,17.5,Low Fat,0,Frozen Foods,258.33,OUT013,1987,High,Tier 3,Supermarket Type1,3358.2952
FDJ44,12.3,Regular,0.106238768,Fruits and Vegetables,176.14,OUT013,1987,High,Tier 3,Supermarket Type1,3663.2316
FDS50,17,Low Fat,0.055545797,Dairy,220.51,OUT045,2002,Medium,Tier 2,Supermarket Type1,5321.0736
NCQ41,13.14,Low Fat,0.019386057,Health and Hygiene,194.58,OUT027,1985,Medium,Tier 3,Supermarket Type3,3511.4292
FDA49,19.7,Low Fat,0.064921764,Canned,88.12,OUT046,1997,Small,Tier 1,Supermarket Type1,1744.396
NCZ06,19.6,Low Fat,0.094694278,Household,254.97,OUT017,2007,Medium,Tier 2,Supermarket Type1,2536.698
NCM43,14.5,Low Fat,0.019554705,Others,162.42,OUT018,2009,Medium,Tier 3,Supermarket Type2,1957.452
FDH19,19.35,Low Fat,0.033060937,Meat,172.47,OUT013,1987,High,Tier 3,Supermarket Type1,1911.5118
FDS15,9.2,Regular,0.078181964,Meat,106.76,OUT049,1999,Medium,Tier 1,Supermarket Type1,4098.6648
FDO50,16.25,Low Fat,0,Canned,90.28,OUT018,2009,Medium,Tier 3,Supermarket Type2,1653.8472
FDJ20,20.7,Regular,0.100583009,Fruits and Vegetables,123.54,OUT018,2009,Medium,Tier 3,Supermarket Type2,1981.4208
NCI31,20,Low Fat,0.136124989,Others,38.32,OUT010,1998,Medium,Tier 3,Grocery Store,146.476
FDU20,13.22,Regular,0.021353642,Fruits and Vegetables,122.11,OUT027,1985,Medium,Tier 3,Supermarket Type3,3374.2744
DRK13,11.8,Low Fat,0.115167579,Soft Drinks,199.81,OUT046,1997,Small,Tier 1,Supermarket Type1,2380.9008
DRJ24,11.8,Low Fat,0.113559058,Soft Drinks,184.29,OUT045,2002,Medium,Tier 2,Supermarket Type1,1850.924
FDI20,19.1,Low Fat,0.038641968,Fruits and Vegetables,212.16,OUT045,2002,Medium,Tier 2,Supermarket Type1,5909.6408
FDF10,15.5,Regular,0.157246634,Snack Foods,145.64,OUT045,2002,Medium,Tier 2,Supermarket Type1,2207.127
FDQ45,9.5,Regular,0.010917052,Snack Foods,185.36,OUT046,1997,Small,Tier 1,Supermarket Type1,2021.3688
FDQ10,12.85,Low Fat,0.033172957,Snack Foods,172.04,OUT035,2004,Small,Tier 2,Supermarket Type1,5345.7082
FDM36,11.65,Regular,0.058719726,Baking Goods,171.14,OUT035,2004,Small,Tier 2,Supermarket Type1,2931.5174
FDN12,15.6,Low Fat,0,Baking Goods,111.85,OUT018,2009,Medium,Tier 3,Supermarket Type2,1454.1072
FDD50,18.85,Low Fat,0.141524348,Canned,168.41,OUT013,1987,High,Tier 3,Supermarket Type1,2874.9244
FDG17,6.87,Regular,0.035895934,Frozen Foods,244.45,OUT049,1999,Medium,Tier 1,Supermarket Type1,6353.0636
FDY58,11.65,Low Fat,0.039980644,Snack Foods,227.37,OUT049,1999,Medium,Tier 1,Supermarket Type1,4567.388
NCK29,13.14,Low Fat,0,Health and Hygiene,123.47,OUT019,1985,Small,Tier 1,Grocery Store,369.519
FDM32,20.5,Low Fat,0,Fruits and Vegetables,90.88,OUT010,1998,Medium,Tier 3,Grocery Store,89.883
FDL46,20.35,Low Fat,0.054056927,Snack Foods,116.85,OUT046,1997,Small,Tier 1,Supermarket Type1,2356.932
FDC51,10.9,Regular,0.009636821,Dairy,121.87,OUT049,1999,Medium,Tier 1,Supermarket Type1,2463.46
FDF16,7.3,Low Fat,0.086266286,Frozen Foods,147.21,OUT049,1999,Medium,Tier 1,Supermarket Type1,1921.4988
NCV54,11.1,Low Fat,0.033081389,Household,116.51,OUT013,1987,High,Tier 3,Supermarket Type1,1066.6116
FDE35,7.06,Regular,0.043989429,Starchy Foods,60.29,OUT045,2002,Medium,Tier 2,Supermarket Type1,644.4944
FDA23,9.8,Low Fat,0.047178116,Baking Goods,99.4,OUT035,2004,Small,Tier 2,Supermarket Type1,2428.8384
FDI46,9.5,Low Fat,0.074496043,Snack Foods,251.97,OUT045,2002,Medium,Tier 2,Supermarket Type1,2516.724
FDZ21,17.6,Regular,0.039189221,Snack Foods,97.34,OUT013,1987,High,Tier 3,Supermarket Type1,965.41
DRK13,11.8,Low Fat,0.115819014,Soft Drinks,198.31,OUT017,2007,Medium,Tier 2,Supermarket Type1,4563.3932
FDX36,9.7,Regular,0.129008866,Baking Goods,226.94,OUT017,2007,Medium,Tier 2,Supermarket Type1,2700.4848
FDY22,16.5,Regular,0.160371305,Snack Foods,143.91,OUT018,2009,Medium,Tier 3,Supermarket Type2,1581.9408
FDR32,13.22,Regular,0.085392428,Fruits and Vegetables,226.77,OUT027,1985,Medium,Tier 3,Supermarket Type3,6165.9738
DRF25,9,Low Fat,0.038925251,Soft Drinks,34.92,OUT046,1997,Small,Tier 1,Supermarket Type1,476.047
FDK20,12.6,Regular,0.041557653,Fruits and Vegetables,124.51,OUT046,1997,Small,Tier 1,Supermarket Type1,2450.144
DRI11,11.4,Low Fat,0.060237465,Hard Drinks,115.98,OUT019,1985,Small,Tier 1,Grocery Store,345.5502
FDH05,14.35,Regular,0.091098018,Frozen Foods,233.6,OUT045,2002,Medium,Tier 2,Supermarket Type1,1853.5872
FDA46,13.6,Low Fat,0.117874024,Snack Foods,193.61,OUT045,2002,Medium,Tier 2,Supermarket Type1,4471.5128
DRD24,13.85,Low Fat,0.030795085,Soft Drinks,143.32,OUT046,1997,Small,Tier 1,Supermarket Type1,1985.4156
FDL39,16.1,Regular,0.063689583,Dairy,181.93,OUT017,2007,Medium,Tier 2,Supermarket Type1,5954.2494
FDD52,18.25,Regular,0.184041545,Dairy,110.16,OUT018,2009,Medium,Tier 3,Supermarket Type2,1867.569
FDR55,12.15,Regular,0.13283066,Fruits and Vegetables,190.69,OUT017,2007,Medium,Tier 2,Supermarket Type1,2269.0464
DRI13,15.35,Low Fat,0.020441939,Soft Drinks,216.45,OUT017,2007,Medium,Tier 2,Supermarket Type1,5426.27
FDG31,12.82,Low Fat,0.037712875,Meat,64.48,OUT027,1985,Medium,Tier 3,Supermarket Type3,2518.7214
FDP04,15.35,Low Fat,0.013840784,Frozen Foods,65.22,OUT045,2002,Medium,Tier 2,Supermarket Type1,958.752
FDH35,18.25,Low Fat,0.060198496,Starchy Foods,162.95,OUT013,1987,High,Tier 3,Supermarket Type1,1151.1682
NCB42,11.8,Low Fat,0.008559557,Health and Hygiene,117.25,OUT035,2004,Small,Tier 2,Supermarket Type1,2432.8332
FDQ14,9.27,Low Fat,0.061883353,Dairy,147.91,OUT049,1999,Medium,Tier 1,Supermarket Type1,1647.855
FDI19,12.82,Low Fat,0.052085615,Meat,242.85,OUT027,1985,Medium,Tier 3,Supermarket Type3,5816.4288
FDJ55,12.8,Regular,0.039385992,Meat,224.84,OUT010,1998,Medium,Tier 3,Grocery Store,1575.2828
DRN59,15,Low Fat,0.064241345,Hard Drinks,45.21,OUT049,1999,Medium,Tier 1,Supermarket Type1,792.302
NCR06,12.5,Low Fat,0.006759519,Household,42.81,OUT013,1987,High,Tier 3,Supermarket Type1,639.168
NCF42,17.35,Low Fat,0.167243769,Household,176.27,OUT013,1987,High,Tier 3,Supermarket Type1,2988.1104
FDG24,7.98,Low Fat,0.01469075,Baking Goods,84.73,OUT018,2009,Medium,Tier 3,Supermarket Type2,1747.725
FDB58,10.5,Regular,0.013551445,Snack Foods,142.02,OUT018,2009,Medium,Tier 3,Supermarket Type2,2410.8618
FDQ56,13.22,Low Fat,0.105085956,Fruits and Vegetables,82.39,OUT027,1985,Medium,Tier 3,Supermarket Type3,3691.1952
NCV41,14.35,Low Fat,0.017038777,Health and Hygiene,112.52,OUT046,1997,Small,Tier 1,Supermarket Type1,1989.4104
FDW19,12.35,Regular,0.038718195,Fruits and Vegetables,110.66,OUT017,2007,Medium,Tier 2,Supermarket Type1,2087.283
FDO56,10.2,Regular,0.075291577,Fruits and Vegetables,119.18,OUT010,1998,Medium,Tier 3,Grocery Store,351.5424
FDI41,18.5,Regular,0,Frozen Foods,148.74,OUT045,2002,Medium,Tier 2,Supermarket Type1,2501.4106
FDN10,11.5,Low Fat,0,Snack Foods,119.51,OUT018,2009,Medium,Tier 3,Supermarket Type2,829.5868
FDY20,12.5,Regular,0.082085787,Fruits and Vegetables,92.25,OUT018,2009,Medium,Tier 3,Supermarket Type2,1358.232
DRM37,11.85,Low Fat,0.095931002,Soft Drinks,198.58,OUT027,1985,Medium,Tier 3,Supermarket Type3,6897.688
FDV34,10.7,Regular,0.011448629,Snack Foods,72.9,OUT045,2002,Medium,Tier 2,Supermarket Type1,1034.6532
NCX18,14.15,Low Fat,0.00879232,Household,195.01,OUT035,2004,Small,Tier 2,Supermarket Type1,1964.11
FDY10,17.6,Low Fat,0.049167388,Snack Foods,114.92,OUT045,2002,Medium,Tier 2,Supermarket Type1,1946.7992
NCZ17,13.14,Low Fat,0.079046992,Health and Hygiene,39.85,OUT027,1985,Medium,Tier 3,Supermarket Type3,1480.0734
FDT12,6.22,Regular,0.049580407,Baking Goods,227.41,OUT013,1987,High,Tier 3,Supermarket Type1,5191.2426
FDD57,18.1,Low Fat,0.022399592,Fruits and Vegetables,96.01,OUT046,1997,Small,Tier 1,Supermarket Type1,1808.9786
FDK45,11.65,Low Fat,0.033926852,Seafood,111.59,OUT045,2002,Medium,Tier 2,Supermarket Type1,3395.58
FDJ57,7.42,Regular,0.021617397,Seafood,185.06,OUT045,2002,Medium,Tier 2,Supermarket Type1,5201.2296
NCI31,20,Low Fat,0.0814536,Others,36.82,OUT049,1999,Medium,Tier 1,Supermarket Type1,768.999
FDZ48,17.75,Low Fat,0.07607772,Baking Goods,112.45,OUT049,1999,Medium,Tier 1,Supermarket Type1,2348.9424
FDI16,14,Regular,0.135775701,Frozen Foods,54.56,OUT046,1997,Small,Tier 1,Supermarket Type1,1597.92
FDZ31,15.35,Regular,0,Fruits and Vegetables,193.05,OUT049,1999,Medium,Tier 1,Supermarket Type1,2492.7552
DRG15,6.13,Low Fat,0.076891526,Dairy,61.55,OUT045,2002,Medium,Tier 2,Supermarket Type1,796.2968
FDX36,9.7,Regular,0.128543405,Baking Goods,226.54,OUT045,2002,Medium,Tier 2,Supermarket Type1,4500.808
FDD40,20.25,Regular,0.014793357,Dairy,191.52,OUT046,1997,Small,Tier 1,Supermarket Type1,3078.6592
FDA04,12.87,Regular,0.066406853,Frozen Foods,259.8,OUT027,1985,Medium,Tier 3,Supermarket Type3,5697.9164
FDL21,15.85,Regular,0.007140468,Snack Foods,40.85,OUT013,1987,High,Tier 3,Supermarket Type1,679.116
FDS21,19.85,Regular,0.020858779,Snack Foods,62.82,OUT013,1987,High,Tier 3,Supermarket Type1,928.791
DRF23,4.61,Low Fat,0.123346085,Hard Drinks,172.54,OUT017,2007,Medium,Tier 2,Supermarket Type1,3663.2316
FDM46,7.37,Low Fat,0.159937597,Snack Foods,93.91,OUT035,2004,Small,Tier 2,Supermarket Type1,1304.968
DRG49,11.85,Low Fat,0.067128641,Soft Drinks,242.85,OUT027,1985,Medium,Tier 3,Supermarket Type3,3420.8804
FDG26,18.85,Low Fat,0.042736348,Canned,255.93,OUT045,2002,Medium,Tier 2,Supermarket Type1,3844.995
FDR51,12.82,Regular,0.172629683,Meat,148.47,OUT027,1985,Medium,Tier 3,Supermarket Type3,3761.77
FDV39,11.3,Low Fat,0.007278512,Meat,196.74,OUT035,2004,Small,Tier 2,Supermarket Type1,2768.3964
FDC39,7.41,Low Fat,0,Dairy,205.73,OUT017,2007,Medium,Tier 2,Supermarket Type1,4570.0512
FDP45,15.7,Regular,0.03079807,Snack Foods,252.97,OUT017,2007,Medium,Tier 2,Supermarket Type1,3020.0688
FDC56,7.72,Low Fat,0.12152072,Fruits and Vegetables,118.24,OUT046,1997,Small,Tier 1,Supermarket Type1,958.752
FDK38,6.65,Low Fat,0.053591345,Canned,149.77,OUT017,2007,Medium,Tier 2,Supermarket Type1,2375.5744
NCJ29,10.6,Low Fat,0.035163639,Health and Hygiene,84.42,OUT013,1987,High,Tier 3,Supermarket Type1,852.224
NCF19,13.38,Low Fat,0.061470858,Household,48.6,OUT019,1985,Small,Tier 1,Grocery Store,145.8102
FDG59,15.85,Low Fat,0.043226398,Starchy Foods,37.52,OUT035,2004,Small,Tier 2,Supermarket Type1,270.3148
FDE59,12.15,Low Fat,0.062640143,Starchy Foods,36.65,OUT017,2007,Medium,Tier 2,Supermarket Type1,251.6724
FDB04,11.35,Regular,0.06358394,Dairy,89.49,OUT017,2007,Medium,Tier 2,Supermarket Type1,1142.5128
NCK05,20.1,Low Fat,0.077389797,Health and Hygiene,60.85,OUT013,1987,High,Tier 3,Supermarket Type1,1347.5792
FDR03,15.7,Regular,0.00878535,Meat,205,OUT017,2007,Medium,Tier 2,Supermarket Type1,5366.348
FDQ03,12.82,Regular,0.136592891,Meat,238.02,OUT019,1985,Small,Tier 1,Grocery Store,711.0744
FDC59,16.7,Regular,0.054937907,Starchy Foods,64.22,OUT017,2007,Medium,Tier 2,Supermarket Type1,1661.8368
DRB13,6.12,Regular,0.007084185,Soft Drinks,191.15,OUT017,2007,Medium,Tier 2,Supermarket Type1,3415.554
NCE54,20.7,Low Fat,0.027052013,Household,73.94,OUT017,2007,Medium,Tier 2,Supermarket Type1,1655.1788
FDC10,9.8,Regular,0.072863893,Snack Foods,118.61,OUT035,2004,Small,Tier 2,Supermarket Type1,843.5686
FDR46,12.99,Low Fat,0.244102315,Snack Foods,148.08,OUT019,1985,Small,Tier 1,Grocery Store,146.476
